ERROR - 02/06/2025 09:31:07 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:32 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:32 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:32:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:10 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:10 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:11 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:11 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:11 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:11 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
