ERROR - 15/07/2025 04:50:49 : [5] Something unexpected happened while reading : Connection timed out - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:171)
ERROR - 15/07/2025 11:31:53 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:32:37 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:32:38 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:35:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:35:52 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:36:30 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
